Interval=	0.0025 s
ExcelDateTime=	4.4991596726522410e+004	3/6/2023 14:19:17.171536
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
0	8.0
0.0025	-5.5
0.005	7.8
0.0075	28.1
0.01	32.5
0.0125	26.4
0.015	12.1
0.0175	3.0
0.02	11.0
0.0225	30.4
0.025	39.6
0.0275	28.3
0.03	28.4
0.0325	20.7
0.035	-4.7
0.0375	-1.6
0.04	20.5
0.0425	18.8
0.045	18.1
0.0475	8.5
0.05	-11.0
0.0525	0.4
0.055	12.3
0.0575	20.9
0.06	24.5
0.0625	16.1
0.065	7.4
0.0675	3.7
0.07	-8.3
0.0725	-4.2
0.075	27.1
0.0775	20.9
0.08	-3.2
0.0825	-6.1
0.085	-8.1
0.0875	-0.9
0.09	4.4
0.0925	-0.3
0.095	3.6
0.0975	-6.4
0.1	-7.4
0.1025	-5.9
0.105	-10.7
0.1075	13.3
0.11	13.1
0.1125	-2.8
0.115	-12.2
0.1175	-24.6
0.12	-19.2
0.1225	-4.6
0.125	2.1
0.1275	19.7
0.13	17.0
0.1325	-19.6
0.135	-28.1
0.1375	-7.8
0.14	9.8
0.1425	14.6
0.145	8.3
0.1475	-7.9
0.15	-25.2
0.1525	-31.3
0.155	-10.9
0.1575	5.8
0.16	2.3
0.1625	-0.7
0.165	-3.8
0.1675	-8.4
0.17	-15.0
0.1725	-0.7
0.175	14.2
0.1775	8.2
0.18	-5.5
0.1825	-26.2
0.185	-31.9
0.1875	-14.0
0.19	-0.7
0.1925	1.2
0.195	3.2
0.1975	-6.3
0.2	-19.6
0.2025	-15.7
0.205	-2.1
0.2075	14.4
0.21	27.3
0.2125	22.8
0.215	-7.9
0.2175	-20.8
0.22	-9.8
0.2225	2.7
0.225	13.3
0.2275	14.6
0.23	-1.7
0.2325	-28.7
0.235	-29.9
0.2375	-23.8
0.24	-10.9
0.2425	0.5
0.245	-8.3
0.2475	-23.3
0.25	-34.8
0.2525	-33.2
0.255	-24.5
0.2575	-13.2
0.26	-3.1
0.2625	4.9
0.265	-1.6
0.2675	-17.7
0.27	-26.0
0.2725	-17.5
0.275	-3.3
0.2775	-6.5
0.28	-4.3
0.2825	-5.5
0.285	-6.9
0.2875	-9.5
0.29	-12.6
0.2925	-2.4
0.295	-9.7
0.2975	-18.0
0.3	-19.9
0.3025	-18.7
0.305	-15.3
0.3075	-11.0
0.31	-10.5
0.3125	-16.8
0.315	-28.1
0.3175	-25.9
0.32	-12.5
0.3225	-11.5
0.325	-6.0
0.3275	-2.4
0.33	-17.1
0.3325	-26.0
0.335	-25.4
0.3375	-21.2
0.34	-0.2
0.3425	10.0
0.345	5.5
0.3475	-7.9
0.35	-18.2
0.3525	-16.3
0.355	-16.1
0.3575	-5.4
0.36	-3.8
0.3625	-10.8
0.365	-13.4
0.3675	-19.3
0.37	-5.1
0.3725	12.3
0.375	9.0
0.3775	6.5
0.38	3.8
0.3825	-2.4
0.385	-4.8
0.3875	-3.6
0.39	11.3
0.3925	15.4
0.395	9.8
0.3975	2.2
0.4	-2.7
0.4025	-4.6
0.405	-4.1
0.4075	11.0
0.41	9.8
0.4125	2.0
0.415	-7.7
0.4175	-18.2
0.42	-8.0
0.4225	10.7
0.425	13.0
0.4275	16.0
0.43	14.0
0.4325	-0.2
0.435	-8.4
0.4375	-4.3
0.44	16.5
0.4425	21.9
