Interval=	0.0025 s
ExcelDateTime=	4.4991637778096825e+004	3/6/2023 15:18:24.027566
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
0	-7.5
0.0025	1.9
0.005	11.2
0.0075	10.6
0.01	4.9
0.0125	-7.2
0.015	-11.7
0.0175	-12.2
0.02	-0.6
0.0225	-0.9
0.025	-10.2
0.0275	-18.9
0.03	-30.2
0.0325	-25.9
0.035	-16.2
0.0375	-4.5
0.04	-0.1
0.0425	-9.9
0.045	-31.0
0.0475	-44.7
0.05	-43.9
0.0525	-36.9
0.055	-30.1
0.0575	-30.6
0.06	-39.9
0.0625	-54.6
0.065	-63.1
0.0675	-61.5
0.07	-44.6
0.0725	-25.7
0.075	-16.9
0.0775	-8.2
0.08	-18.0
0.0825	-23.0
0.085	-10.0
0.0875	4.7
0.09	18.3
0.0925	-0.2
0.095	-29.2
0.0975	-31.3
0.1	-23.1
0.1025	-18.1
0.105	-7.5
0.1075	3.3
0.11	-2.6
0.1125	-12.7
0.115	-19.3
0.1175	-25.4
0.12	-19.6
0.1225	-12.9
0.125	-17.3
0.1275	-38.1
0.13	-58.1
0.1325	-66.5
0.135	-61.9
0.1375	-42.4
0.14	-34.7
0.1425	-31.5
0.145	-48.0
0.1475	-58.4
0.15	-40.1
0.1525	-32.7
0.155	-19.2
0.1575	-8.3
0.16	-6.1
0.1625	-9.0
0.165	-17.5
0.1675	-21.7
0.17	-18.5
0.1725	-3.9
0.175	-2.0
0.1775	-14.6
0.18	-28.5
0.1825	-33.6
0.185	-23.1
0.1875	-13.5
0.19	-6.5
0.1925	-11.1
0.195	-24.6
0.1975	-29.2
0.2	-29.7
0.2025	-27.1
0.205	-20.6
0.2075	-16.3
0.21	-17.4
0.2125	-30.0
0.215	-39.6
0.2175	-36.2
0.22	-29.7
0.2225	-16.3
0.225	-21.8
0.2275	-29.3
0.23	-28.8
0.2325	-35.7
0.235	-37.9
0.2375	-23.5
0.24	-2.0
0.2425	-6.2
0.245	-16.8
0.2475	-18.3
0.25	-11.9
0.2525	-2.5
0.255	3.3
0.2575	4.3
0.26	2.0
0.2625	-4.2
0.265	-8.5
0.2675	-1.7
0.27	-2.4
0.2725	3.7
0.275	2.1
0.2775	-14.3
0.28	-13.4
0.2825	-19.6
0.285	-27.6
0.2875	-14.5
0.29	-8.7
0.2925	-16.3
0.295	-19.6
0.2975	-24.1
0.3	-34.1
0.3025	-20.7
0.305	-8.7
0.3075	-13.4
0.31	-13.5
0.3125	-21.9
0.315	-32.6
0.3175	-27.7
0.32	-16.9
0.3225	-10.3
0.325	-7.0
0.3275	-10.6
0.33	-17.2
0.3325	-22.5
0.335	-24.8
0.3375	-26.2
0.34	-21.2
0.3425	-13.7
0.345	-10.1
0.3475	-14.4
0.35	-17.0
0.3525	-1.9
0.355	8.1
0.3575	8.3
0.36	18.2
0.3625	20.8
0.365	15.4
0.3675	8.4
0.37	7.2
0.3725	15.7
0.375	15.2
0.3775	13.8
0.38	10.4
0.3825	-0.2
0.385	-8.5
0.3875	-9.9
0.39	-9.8
0.3925	-19.1
0.395	-26.0
0.3975	-25.1
0.4	-22.3
0.4025	-22.7
0.405	-14.0
0.4075	-7.2
0.41	-12.3
0.4125	-14.2
0.415	-26.6
0.4175	-23.4
0.42	-7.1
0.4225	-1.8
0.425	6.7
0.4275	10.3
0.43	5.4
0.4325	-12.2
0.435	-10.8
0.4375	3.1
0.44	4.7
0.4425	11.5
0.445	-8.7
0.4475	-32.5
0.45	-21.0
0.4525	-4.6
0.455	-9.2
0.4575	-10.1
0.46	0.1
0.4625	-12.9
0.465	-22.8
0.4675	-10.4
0.47	3.6
0.4725	0.8
0.475	-6.1
0.4775	-10.3
0.48	-20.8
0.4825	-22.0
0.485	-21.8
0.4875	-25.7
0.49	-23.1
0.4925	-27.8
0.495	-44.6
0.4975	-49.1
0.5	-42.6
0.5025	-36.7
0.505	-36.7
0.5075	-32.7
0.51	-25.7
0.5125	-32.9
0.515	-28.7
0.5175	-17.1
0.52	-8.6
0.5225	5.3
0.525	14.5
0.5275	11.2
0.53	3.7
0.5325	13.3
0.535	15.5
0.5375	10.5
0.54	22.0
0.5425	21.2
0.545	19.0
0.5475	22.1
0.55	11.0
0.5525	5.0
0.555	4.8
0.5575	7.4
0.56	-3.4
0.5625	-8.4
0.565	-0.3
0.5675	-5.8
0.57	-11.6
0.5725	-11.0
0.575	-7.3
0.5775	-10.7
0.58	-22.2
0.5825	-26.9
0.585	-30.0
0.5875	-27.8
0.59	-20.5
0.5925	-23.3
0.595	-21.1
0.5975	-19.3
0.6	-25.4
0.6025	-26.2
0.605	-11.0
0.6075	3.5
0.61	6.0
0.6125	5.9
0.615	6.0
0.6175	14.3
0.62	27.0
0.6225	40.5
0.625	44.3
0.6275	39.3
0.63	22.9
0.6325	13.5
0.635	19.6
0.6375	19.2
0.64	18.1
0.6425	11.5
0.645	-3.5
0.6475	-14.2
0.65	-20.4
0.6525	-14.4
0.655	-7.3
0.6575	-10.3
0.66	-15.9
0.6625	-22.5
0.665	-25.9
0.6675	-29.0
0.67	-22.4
0.6725	-21.3
0.675	-25.7
0.6775	-29.1
0.68	-46.4
0.6825	-53.6
0.685	-46.5
0.6875	-38.0
0.69	-26.7
0.6925	-18.6
0.695	-15.3
0.6975	-14.8
0.7	-7.8
0.7025	6.4
0.705	21.0
0.7075	34.1
0.71	37.9
0.7125	32.9
0.715	36.9
0.7175	59.2
0.72	60.5
0.7225	47.1
0.725	46.9
0.7275	41.3
0.73	31.7
0.7325	23.8
0.735	19.0
0.7375	15.1
0.74	8.9
0.7425	0.4
0.745	-6.4
0.7475	-10.9
0.75	-21.1
0.7525	-26.0
0.755	-26.6
0.7575	-24.2
0.76	-19.3
0.7625	-30.2
0.765	-44.1
0.7675	-50.1
0.77	-44.8
0.7725	-32.7
0.775	-27.2
0.7775	-28.3
0.78	-32.6
0.7825	-23.0
0.785	-4.9
0.7875	8.5
0.79	17.7
0.7925	16.8
0.795	17.5
0.7975	20.2
0.8	23.1
0.8025	28.2
0.805	36.9
0.8075	38.8
0.81	36.7
0.8125	34.8
0.815	25.9
0.8175	17.5
0.82	14.2
0.8225	13.1
0.825	5.1
0.8275	-4.1
0.83	-1.3
0.8325	-2.3
0.835	-13.5
0.8375	-13.3
0.84	-11.3
0.8425	-21.2
0.845	-27.6
0.8475	-31.5
0.85	-36.2
0.8525	-31.8
0.855	-22.4
0.8575	-16.5
0.86	-16.5
0.8625	-19.1
0.865	-18.8
0.8675	-2.5
0.87	20.4
0.8725	30.6
0.875	31.3
0.8775	34.0
0.88	31.3
0.8825	28.5
0.885	34.0
0.8875	38.5
0.89	38.2
0.8925	36.2
0.895	26.2
0.8975	22.1
0.9	23.7
0.9025	18.9
0.905	18.9
0.9075	13.3
0.91	-1.3
0.9125	-19.5
0.915	-25.9
0.9175	-16.3
0.92	-13.1
0.9225	-12.7
0.925	-16.6
0.9275	-25.2
0.93	-26.7
0.9325	-30.8
0.935	-33.0
0.9375	-37.8
0.94	-33.9
0.9425	-34.7
0.945	-42.1
0.9475	-46.3
0.95	-45.7
0.9525	-28.6
0.955	-20.4
0.9575	-11.0
0.96	2.3
0.9625	-1.5
0.965	-1.4
0.9675	9.6
0.97	18.3
0.9725	26.4
0.975	22.1
0.9775	17.7
0.98	18.3
0.9825	16.2
0.985	16.2
0.9875	18.2
0.99	25.0
0.9925	18.4
0.995	6.7
0.9975	2.5
1	-0.5
1.0025	1.2
1.005	-1.3
1.0075	-9.9
1.01	-13.7
1.0125	-27.4
1.015	-41.3
1.0175	-38.5
1.02	-34.6
1.0225	-28.9
1.025	-32.0
1.0275	-33.7
1.03	-36.7
1.0325	-48.0
1.035	-45.5
1.0375	-33.2
1.04	-23.6
1.0425	-22.2
1.045	-20.8
1.0475	-22.0
1.05	-13.4
1.0525	-0.5
1.055	14.7
1.0575	24.1
1.06	22.0
1.0625	18.0
1.065	16.4
1.0675	17.0
1.07	16.9
1.0725	16.0
1.075	18.6
1.0775	17.7
1.08	-0.3
1.0825	-12.1
1.085	-9.9
1.0875	-5.4
1.09	-8.4
1.0925	-17.0
1.095	-22.7
1.0975	-27.7
1.1	-32.3
1.1025	-26.3
1.105	-17.5
1.1075	-16.7
1.11	-18.1
1.1125	-30.4
1.115	-33.1
1.1175	-26.3
1.12	-24.7
1.1225	-19.1
1.125	-22.7
1.1275	-22.2
1.13	-24.1
1.1325	-32.1
1.135	-24.2
1.1375	-16.1
1.14	-12.1
1.1425	-9.9
1.145	-14.8
1.1475	-16.6
1.15	-16.8
1.1525	-12.0
1.155	6.9
1.1575	18.7
1.16	7.9
1.1625	4.3
1.165	6.8
1.1675	7.8
1.17	16.6
1.1725	12.0
1.175	4.4
1.1775	5.7
1.18	0.6
1.1825	-5.3
1.185	-11.0
1.1875	-0.2
1.19	9.6
1.1925	6.2
1.195	10.8
1.1975	-5.1
1.2	-23.7
1.2025	-20.3
1.205	-20.4
1.2075	-18.7
1.21	-19.5
1.2125	-33.2
1.215	-36.4
1.2175	-30.8
1.22	-27.7
1.2225	-30.6
1.225	-27.6
1.2275	-15.9
1.23	-23.1
1.2325	-29.5
1.235	-21.8
1.2375	-2.6
1.24	11.0
1.2425	15.3
1.245	18.9
1.2475	8.9
1.25	9.1
1.2525	13.9
1.255	15.7
1.2575	14.7
1.26	8.0
1.2625	5.7
1.265	4.7
1.2675	11.0
1.27	14.3
1.2725	14.9
1.275	7.4
1.2775	-5.9
1.28	-4.7
1.2825	5.1
1.285	-1.3
1.2875	-2.5
1.29	-0.5
1.2925	-12.5
1.295	-9.2
1.2975	-8.9
1.3	6.2
1.3025	14.1
